epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1009.44,0.84341,1.09964,0.00558,0.88162,0.87647,0.94647,0.7671,0.78164,1.6339,0.00696,0.0014258,0.0014258,0.0014258
89,1020.1,0.92245,0.9991,0.00577,0.88162,0.87647,0.94647,0.7671,0.78164,1.6339,0.00696,0.0014192,0.0014192,0.0014192
90,1030.91,0.83462,0.99881,0.00478,0.88335,1,0.97967,0.89144,0.52403,1.4322,0.00472,0.0014126,0.0014126,0.0014126
91,1041.66,0.87712,1.02086,0.00559,0.99752,0.88235,0.97416,0.91011,0.47062,1.30976,0.0041,0.001406,0.001406,0.001406
92,1052.49,0.99416,0.94738,0.00496,0.94112,0.94024,0.98195,0.86816,0.6012,1.35255,0.00528,0.0013994,0.0013994,0.0013994
93,1063.05,0.91719,1.05928,0.00521,0.94112,0.94024,0.98195,0.86816,0.6012,1.35255,0.00528,0.0013928,0.0013928,0.0013928
94,1073.62,0.93792,0.93586,0.00557,1,0.92945,0.9875,0.82798,0.71299,1.35111,0.00661,0.0013862,0.0013862,0.0013862
95,1084.4,0.94602,0.94334,0.00632,1,0.92466,0.98974,0.82943,0.72781,1.31704,0.00677,0.0013796,0.0013796,0.0013796
96,1095.31,0.9236,0.89907,0.00441,0.92862,0.94118,0.98621,0.87849,0.59913,1.21974,0.00519,0.001373,0.001373,0.001373
97,1106.06,1.03182,0.92492,0.00499,0.92862,0.94118,0.98621,0.87849,0.59913,1.21974,0.00519,0.0013664,0.0013664,0.0013664
98,1116.6,0.98244,1.03581,0.0051,0.99858,0.94118,0.9875,0.85029,0.67429,1.20177,0.00584,0.0013598,0.0013598,0.0013598
99,1127.63,1.07106,0.9217,0.00467,0.99488,0.94118,0.98974,0.77424,0.94042,1.27474,0.00864,0.0013532,0.0013532,0.0013532
100,1138.43,1.10126,0.90102,0.00495,0.84376,0.9535,0.96744,0.78024,0.90331,1.33667,0.00807,0.0013466,0.0013466,0.0013466
101,1148.96,0.73367,0.85377,0.00396,0.84376,0.9535,0.96744,0.78024,0.90331,1.33667,0.00807,0.00134,0.00134,0.00134
102,1159.53,0.98141,0.8993,0.00463,0.8869,0.92328,0.96462,0.78702,0.81254,1.28601,0.007,0.0013334,0.0013334,0.0013334
103,1170.19,0.89403,0.85544,0.00415,0.99144,0.82353,0.95264,0.83579,0.58015,1.21971,0.00487,0.0013268,0.0013268,0.0013268
104,1180.96,1.06716,0.89962,0.00464,0.92773,0.88235,0.96613,0.8281,0.57979,1.24033,0.00549,0.0013202,0.0013202,0.0013202
105,1191.62,0.82858,0.77733,0.00394,0.92773,0.88235,0.96613,0.8281,0.57979,1.24033,0.00549,0.0013136,0.0013136,0.0013136
106,1202.33,1.07062,0.94163,0.00498,0.80597,0.88235,0.93977,0.82894,0.4873,1.29001,0.00502,0.001307,0.001307,0.001307
107,1213.04,0.82142,0.88873,0.00478,0.73629,0.98593,0.92193,0.77288,0.58828,1.29502,0.00612,0.0013004,0.0013004,0.0013004
108,1223.78,0.92786,0.80891,0.00479,0.87667,0.88235,0.95752,0.81831,0.58924,1.16929,0.00609,0.0012938,0.0012938,0.0012938
109,1234.76,0.79398,0.76093,0.00427,0.87667,0.88235,0.95752,0.81831,0.58924,1.16929,0.00609,0.0012872,0.0012872,0.0012872
110,1245.35,0.82997,0.76088,0.0053,0.93628,0.86519,0.9703,0.83578,0.5974,1.12529,0.00556,0.0012806,0.0012806,0.0012806
111,1256.31,0.77082,0.86135,0.00562,0.99009,0.94118,0.9875,0.88863,0.51074,1.00724,0.00414,0.001274,0.001274,0.001274
112,1267.2,0.96347,0.79517,0.00546,0.93646,0.94118,0.98621,0.86476,0.57267,1.00742,0.00482,0.0012674,0.0012674,0.0012674
113,1278.42,0.93305,0.78772,0.00479,0.93646,0.94118,0.98621,0.86476,0.57267,1.00742,0.00482,0.0012608,0.0012608,0.0012608
114,1289.44,0.6918,0.74203,0.00488,0.87885,1,0.97967,0.85567,0.55088,1.01437,0.00489,0.0012542,0.0012542,0.0012542
115,1300.46,0.8986,0.80057,0.0045,0.89329,0.98545,0.96511,0.82925,0.55802,1.04781,0.00534,0.0012476,0.0012476,0.0012476
116,1311.02,0.79013,0.7672,0.00464,0.8496,0.997,0.94527,0.81497,0.61868,1.09879,0.00606,0.001241,0.001241,0.001241
117,1321.72,0.83921,0.7895,0.00501,0.8496,0.997,0.94527,0.81497,0.61868,1.09879,0.00606,0.0012344,0.0012344,0.0012344
118,1332.43,0.77892,0.71309,0.00393,0.94062,0.93225,0.97338,0.84485,0.59033,1.02261,0.00558,0.0012278,0.0012278,0.0012278
119,1343.22,0.82851,0.72878,0.00418,0.92659,0.94118,0.98195,0.87286,0.52458,0.94746,0.00483,0.0012212,0.0012212,0.0012212
120,1353.75,0.76116,0.7526,0.00522,0.93427,0.94118,0.98548,0.90036,0.45546,0.97004,0.00365,0.0012146,0.0012146,0.0012146
121,1364.52,1.01128,0.8059,0.00551,0.93427,0.94118,0.98548,0.90036,0.45546,0.97004,0.00365,0.001208,0.001208,0.001208
